country,year,projected_cases,lower_ci,upper_ci
Guinea-Bissau,2027,3014.5,450.5,20173.4
Guinea-Bissau,2028,3096.5,390.8,24537.7
Guinea-Bissau,2029,3180.8,338.5,29887.5
Guinea-Bissau,2030,3267.3,292.9,36443.2
Guyana,2024,370.3,90.6,1514.6
Guyana,2025,351.4,73.1,1689.8
Guyana,2026,333.5,58.8,1891.3
Guyana,2027,316.5,47.2,2121.7
Guyana,2028,300.3,37.8,2384.5
Guyana,2029,285.0,30.3,2683.6
Guyana,2030,270.5,24.2,3023.5
Haiti,2024,10934.7,2677.9,44650.3
Haiti,2025,10517.9,2191.3,50484.2
Haiti,2026,10117.0,1787.5,57262.2
Haiti,2027,9731.5,1454.6,65103.5
Haiti,2028,9360.6,1181.6,74150.6
Haiti,2029,9003.8,958.6,84571.7
Haiti,2030,8660.6,776.8,96562.3
Honduras,2024,2865.1,701.5,11701.7
Honduras,2025,2930.1,610.3,14067.4
Honduras,2026,2996.6,529.3,16965.2
Honduras,2027,3064.6,458.0,20508.2
Honduras,2028,3134.2,395.5,24835.4
Honduras,2029,3205.3,341.1,30117.2
Honduras,2030,3278.0,293.9,36562.1
Hungary,2024,369.8,90.4,1512.2
Hungary,2025,338.8,70.5,1628.8
Hungary,2026,310.4,54.7,1759.9
Hungary,2027,284.4,42.4,1906.0
Hungary,2028,260.5,32.8,2068.0
Hungary,2029,238.7,25.4,2246.8
Hungary,2030,218.7,19.6,2443.8
Iceland,2024,13.7,3.2,59.2
Iceland,2025,14.2,2.8,72.9
Iceland,2026,14.8,2.4,90.0
Iceland,2027,15.4,2.1,111.4
Iceland,2028,16.0,1.8,138.2
Iceland,2029,16.6,1.6,171.6
Iceland,2030,17.3,1.4,213.5
India,2024,2547367.9,623875.4,10401249.1
India,2025,2688423.0,560143.9,12903145.6
India,2026,2837288.7,501324.7,16057872.1
India,2027,2994397.5,447626.5,20031021.8
India,2028,3160205.9,398967.6,25031858.6
India,2029,3335195.6,355107.6,31324389.8
India,2030,3519874.9,315725.6,39241410.8
Indonesia,2024,778487.4,190659.0,3178672.5
Indonesia,2025,843970.3,175844.5,4050658.1
Indonesia,2026,914961.3,161665.6,5178305.6
Indonesia,2027,991923.7,148280.5,6635482.1
Indonesia,2028,1075359.9,135761.1,8517892.8
Indonesia,2029,1165814.4,124127.3,10949427.0
Indonesia,2030,1263877.5,113367.1,14090392.4
Iran (Islamic Republic of),2024,6920.5,1694.7,28259.8
